txn_id,card_no,amount_usd,status,created_at
CARD_1,411111xxxxxx1,25.03,approved,2026-04-19T15:26:23.786602
CARD_2,411111xxxxxx2,352.76,pending,2026-04-18T15:26:23.786602
CARD_3,411111xxxxxx3,273.9,pending,2026-04-17T15:26:23.786602
CARD_4,411111xxxxxx4,221.92,pending,2026-04-10T15:26:23.786602
CARD_5,411111xxxxxx5,202.76,declined,2026-04-23T15:26:23.786602
CARD_6,411111xxxxxx6,453.98,pending,2026-04-12T15:26:23.786602
CARD_7,411111xxxxxx7,367.14,pending,2026-04-27T15:26:23.786602
CARD_8,411111xxxxxx8,164.57,approved,2026-04-25T15:26:23.786602
CARD_9,411111xxxxxx9,457.8,approved,2026-04-28T15:26:23.786602
CARD_10,411111xxxxxx10,22.98,approved,2026-04-16T15:26:23.786602
